Season,Team,League,Division,GP,W,L,T,OTL,SOL,Pts,Pct,GF,GA,PIM,Atten.,Coach,Result
1924-25,Boston Bruins,NHL,,30,6,24,0,0,0,12,0.2,49,119,264,,Art Ross,Out of Playoffs
1925-26,Boston Bruins,NHL,,36,17,15,4,0,0,38,0.528,92,85,279,,Art Ross,Out of Playoffs
1926-27,Boston Bruins,NHL,American,44,21,20,3,0,0,45,0.511,97,89,521,6045.0,Art Ross,Lost in Finals
1927-28,Boston Bruins,NHL,American,44,20,13,11,0,0,51,0.58,77,70,558,6773.0,Art Ross,Lost in round 2
1928-29,Boston Bruins,NHL,American,44,26,13,5,0,0,57,0.648,89,52,472,13387.0,Cy Denneny,Won Championship
1929-30,Boston Bruins,NHL,American,44,38,5,1,0,0,77,0.875,179,98,449,14096.0,Art Ross,Lost in Finals
1930-31,Boston Bruins,NHL,American,44,28,10,6,0,0,62,0.705,143,90,403,,Art Ross,Lost in round 1
1931-32,Boston Bruins,NHL,American,48,15,21,12,0,0,42,0.43799999999999994,122,117,373,12315.0,Art Ross,Out of Playoffs
1932-33,Boston Bruins,NHL,American,48,25,15,8,0,0,58,0.604,124,88,517,,Art Ross,Lost in round 1
1933-34,Boston Bruins,NHL,American,48,18,25,5,0,0,41,0.42700000000000005,111,130,385,,Art Ross,Out of Playoffs
1934-35,Boston Bruins,NHL,American,48,26,16,6,0,0,58,0.604,129,112,368,,Frank Patrick,Lost in round 1
1935-36,Boston Bruins,NHL,American,48,22,20,6,0,0,50,0.521,92,83,397,,Frank Patrick,Lost in round 1
1936-37,Boston Bruins,NHL,American,48,23,18,7,0,0,53,0.552,120,110,303,,Art Ross,Lost in round 1
1937-38,Boston Bruins,NHL,American,48,30,11,7,0,0,67,0.698,142,89,284,,Art Ross,Lost in round 1
1938-39,Boston Bruins,NHL,,48,36,10,2,0,0,74,0.7709999999999999,156,76,251,,Art Ross,Won Championship
1939-40,Boston Bruins,NHL,,48,31,12,5,0,0,67,0.698,170,98,330,10241.0,"Ralph ""Cooney"" Weiland",Lost in round 1
1940-41,Boston Bruins,NHL,,48,27,8,13,0,0,67,0.698,168,102,246,10326.0,"Ralph ""Cooney"" Weiland",Won Championship
1941-42,Boston Bruins,NHL,,48,25,17,6,0,0,56,0.583,160,118,349,11186.0,Art Ross,Lost in round 2
1942-43,Boston Bruins,NHL,,50,24,17,9,0,0,57,0.57,195,176,364,10643.0,Art Ross,Lost in Finals
1943-44,Boston Bruins,NHL,,50,19,26,5,0,0,43,0.43,223,268,207,,Art Ross,Out of Playoffs
1944-45,Boston Bruins,NHL,,50,16,30,4,0,0,36,0.36,179,219,275,,Art Ross,Lost in round 1
1945-46,Boston Bruins,NHL,,50,24,18,8,0,0,56,0.56,167,156,273,13210.0,"Aubrey ""Dit"" Clapper",Lost in Finals
1946-47,Boston Bruins,NHL,,60,26,23,11,0,0,63,0.525,190,175,463,13093.0,"Aubrey ""Dit"" Clapper",Lost in round 1
1947-48,Boston Bruins,NHL,,60,23,24,13,0,0,59,0.49200000000000005,167,168,515,13765.0,"Aubrey ""Dit"" Clapper",Lost in round 1
1948-49,Boston Bruins,NHL,,60,29,23,8,0,0,66,0.55,178,163,434,13543.0,"Aubrey ""Dit"" Clapper",Lost in round 1
1949-50,Boston Bruins,NHL,,70,22,32,16,0,0,60,0.429,198,228,449,11154.0,"George ""Buck"" Boucher",Out of Playoffs
1950-51,Boston Bruins,NHL,,70,22,30,18,0,0,62,0.44299999999999995,178,197,656,8819.0,Lynn Patrick,Lost in round 1
