Season,Team,League,Division,GP,W,L,T,OTL,SOL,Pts,Pct,GF,GA,PIM,Atten.,Coach,Result
1967-68,St. Louis Blues,NHL,Western,74,27,31,16,0,0,70,0.473,177,191,792,8897,"William ""Scotty"" Bowman",Lost in Finals
1968-69,St. Louis Blues,NHL,Western,76,37,25,14,0,0,88,0.579,204,157,838,14436,"William ""Scotty"" Bowman",Lost in Finals
1969-70,St. Louis Blues,NHL,Western,76,37,27,12,0,0,86,0.5660000000000001,224,179,876,16389,"William ""Scotty"" Bowman",Lost in Finals
1970-71,St. Louis Blues,NHL,West,78,34,25,19,0,0,87,0.5579999999999999,223,208,1092,18238,"Arbour, Bowman {+}",Lost in round 1
1971-72,St. Louis Blues,NHL,West,78,28,39,11,0,0,67,0.429,208,247,1150,18376,"Abel, McCreary, Arbour {+}",Lost in round 2
1972-73,St. Louis Blues,NHL,West,78,32,34,12,0,0,76,0.48700000000000004,233,251,1195,18601,"Arbour, Talbot {+}",Lost in round 1
1973-74,St. Louis Blues,NHL,West,78,26,40,12,0,0,64,0.41,206,248,1147,18009,"Talbot, Angotti {+}",Out of Playoffs
1974-75,St. Louis Blues,NHL,Smythe,80,35,31,14,0,0,84,0.525,269,267,1275,18076,"Angotti, Young {+}",Lost in round 1
1975-76,St. Louis Blues,NHL,Smythe,80,29,37,14,0,0,72,0.45,249,290,1274,17321,Leo Boivin,Lost in round 1
1976-77,St. Louis Blues,NHL,Smythe,80,32,39,9,0,0,73,0.456,239,276,877,14649,Emile Francis,Lost in round 2
1977-78,St. Louis Blues,NHL,Smythe,80,20,47,13,0,0,53,0.331,195,304,845,10633,"Boivin, Plager {+}",Out of Playoffs
1978-79,St. Louis Blues,NHL,Smythe,80,18,50,12,0,0,48,0.3,249,348,1055,10130,Barclay Plager,Out of Playoffs
1979-80,St. Louis Blues,NHL,Smythe,80,34,34,12,0,0,80,0.5,266,278,1037,12259,"Plager, Berenson {+}",Lost in round 1
1980-81,St. Louis Blues,NHL,Smythe,80,45,18,17,0,0,107,0.669,352,281,1657,14605,"Gordon ""Red"" Berenson",Lost in round 2
1981-82,St. Louis Blues,NHL,Norris,80,32,40,8,0,0,72,0.45,315,349,1579,14433,"Berenson, Francis {+}",Lost in round 2
1982-83,St. Louis Blues,NHL,Norris,80,25,40,15,0,0,65,0.406,285,316,1281,12612,"Francis, Plager {+}",Lost in round 1
1983-84,St. Louis Blues,NHL,Norris,80,32,41,7,0,0,71,0.444,293,316,1614,12987,Jacques Demers,Lost in round 2
1984-85,St. Louis Blues,NHL,Norris,80,37,31,12,0,0,86,0.5379999999999999,299,288,1301,13397,Jacques Demers,Lost in round 1
1985-86,St. Louis Blues,NHL,Norris,80,37,34,9,0,0,83,0.519,302,291,1478,12230,Jacques Demers,Lost in round 3
1986-87,St. Louis Blues,NHL,Norris,80,32,33,15,0,0,79,0.494,281,293,1572,13240,Jacques Martin,Lost in round 1
1987-88,St. Louis Blues,NHL,Norris,80,34,38,8,0,0,76,0.475,278,294,1919,14505,Jacques Martin,Lost in round 2
1988-89,St. Louis Blues,NHL,Norris,80,33,35,12,0,0,78,0.488,275,285,1675,15138,Brian Sutter,Lost in round 2
1989-90,St. Louis Blues,NHL,Norris,80,37,34,9,0,0,83,0.519,295,279,1809,15813,Brian Sutter,Lost in round 2
