,Beat,CAD-Address,CAD-Street,CADAddress,CADStreet,Coded Month,CodedMonth,Complaint,Count,Crime,Date Crime Coded,Date Occur,DateOccur,Description,District,Flag Cleanup,Flag-Administrative,Flag-Crime,Flag-Unfounded,FlagAdministrative,FlagCleanup,FlagCrime,FlagUnfounded,ILEADS-Address,ILEADS-Street,ILEADSAddress,ILEADSStreet,ILeads Add,ILeads Approve,ILeads Asg,ILeads Type,Location Comment,Location Name,LocationComment,LocationName,Neighborhood,X-Coord,XCoord,Y-Coord,YCoord,lon,lat
0,,,,6111,MICHIGAN,,2016-11,16-060225,1,115400,,,01/01/2013 09:37,STLG BY DECEIT/IDENTITY THEFT REPORT,1,,,,, , ,Y, ,,,6111,MICHIGAN AVE,,,,,,, , ,1,,892049.5,,992992.3,-90.24875273796107,38.560411244935885
1,,,,4100,GRAND,,2016-11,16-051975,1,21000,,,01/01/2015 00:01,RAPE -- FORCIBLE,6,,,,, , ,Y, ,,,4200,COLLEGE AVE,,,,,,, , ,67,,0.0,,0.0,-93.26566300558045,35.8015057543744
2,,,,992,RIVERVIEW,,2016-11,16-056849,1,65701,,,01/30/2016 10:00,LARCENY-MTR VEH PARTS UNDER $500,6,,,,, , ,Y, ,,,0,HORNSBY AVE / NEWBY ST,,,,,,, , ,74,,895706.0,,1050752.0,-90.2353825901664,38.71898500493206
3,,,,3915,OLIVE,,2016-11,16-059816,1,121000,,,02/03/2016 00:01,EMBEZZLEMENT-VALUE OVER $150,5,,,,, , ,Y, ,,,3915,OLIVE ST,,,,,,, , ,38,,894624.9,,1022655.0,-90.23945166204872,38.641842705389514
4,,,,700,SHENANDOAH,,2016-11,16-059550,1,21000,,,02/03/2016 23:30,RAPE -- FORCIBLE,4,,,,, , ,Y, ,,,700,SHENANDOAH AVE,,,,,,, , ,36,,0.0,,0.0,-93.26566300558045,35.8015057543744
5,,,,3756,MERAMEC,,2016-11,16-059170,1,43025,,,02/04/2011 00:01,ASSLT-AGGRAV-OTH-WPN-2ND-CHILD-DOMESTIC,1,,,,, , ,Y, ,,,3761,MERAMEC ST,,,,,,, , ,16,,892275.9,,1001225.0,-90.24788197343017,38.58301593391657
6,,,,4200,MCDONALD,,2016-11,16-056532,1,171300,,,03/01/2016 20:07,SEX OFFNS-STATUATORY RAPE/SECOND,2,,,,, , ,Y, ,,,4200,MCDONALD AVE,,,,,,, , ,15,,0.0,,0.0,-93.26566300558045,35.8015057543744
7,,,,3927,CHIPPEWA,,2016-11,16-057345,1,43026,,,03/07/2010 00:01,ASSLT-AGGRAV-OTH-WPN-3RD-CHILD-DOMESTIC,2,,,,, , ,Y, ,,,3927,CHIPPEWA ST,,,,,,, , ,15,,890901.7,,1003595.0,-90.2526670503052,38.58953402292796
8,,,,3927,CHIPPEWA,,2016-11,16-057345,1,91124,,,03/07/2010 00:01,"ASSAULT, CHILD, AGE 16 AND UNDR-DOMESTIC",2,,,,, , ,Y, ,,,3927,CHIPPEWA ST,,,,,,, , ,15,,890901.7,,1003595.0,-90.2526670503052,38.58953402292796
9,,,,919,JEFFERSON,,2016-11,16-057125,1,115400,,,03/12/2008 10:54,STLG BY DECEIT/IDENTITY THEFT REPORT,3,,,,, , ,Y, ,,,1203,S 14TH ST,,,,,,, , ,33,,904476.4,,1013699.0,-90.20506061799614,38.617168616616084
10,,,, , ,,2016-11,16-013318,1,31112,,,03/22/2016 13:30,ROBBERY-HIGHWAY     /FIREARM USED/ATTEMPT,4,,,,, , , , ,,, , ,,,,,,, , ,59,,0.0,,0.0,-93.26566300558045,35.8015057543744
11,,,, , ,,2016-11,16-013318,-1,41011,,,03/22/2016 13:30,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4,,,,, , , , ,,, , ,,,,,,, , ,59,,0.0,,0.0,-93.26566300558045,35.8015057543744
12,,,,5202,THEODOSIA,,2016-11,16-059139,1,51322,,,04/01/2015 12:00,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,5,,,,, , ,Y, ,,,5202,THEODOSIA AVE,,,,,,, , ,52,,887347.4,,1031513.0,-90.26485203489004,38.666219782787294
13,,,,4621,CHIPPEWA,,2016-11,16-058256,1,121000,,,04/01/2016 10:12,EMBEZZLEMENT-VALUE OVER $150,2,,,,, , ,Y, ,,,4621,CHIPPEWA ST,,,,,,, ,PETSMART,15,,885987.4,,1004143.0,-90.26985564028146,38.5910738595206
14,,,,7900,BROADWAY,,2016-11,16-057476,1,65701,,,04/01/2016 12:00,LARCENY-MTR VEH PARTS UNDER $500,6,,,,, , ,Y, ,,,7900,N BROADWAY,,,,,,, , ,74,,897253.8,,1046651.0,-90.23000000903264,38.70771184528303
15,,,,919,JEFFERSON,,2016-11,16-056797,1,115400,,,04/04/2015 11:49,STLG BY DECEIT/IDENTITY THEFT REPORT,3,,,,, , ,Y, ,,,3717,MICHIGAN AVE,,,,,,, , ,19,,895304.9,,1003307.0,-90.23726472263317,38.58870963006904
16,,,, , ,,2016-11,16-017303,1,263120,,,04/11/2016 09:15,OBSTRUCT GOVRN OP-FALSE REPORT,1,,,,, , , , ,,, ,CHIPPEWA MACKLIND,,,,,,,JOHNSON`S SERVICE PARKING LOT, ,7,,0.0,,0.0,-93.26566300558045,35.8015057543744
17,,,, , ,,2016-11,16-017303,-1,71013,,,04/11/2016 09:15,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1,,,,, , , , ,,, ,CHIPPEWA MACKLIND,,,,,,,JOHNSON`S SERVICE PARKING LOT, ,7,,0.0,,0.0,-93.26566300558045,35.8015057543744
18,,,,607,GRAND,,2016-11,16-034396,1,262100,,,04/18/2016 03:25,PORNAGRAPHY-PROMOTING,4,,,,, , ,Y, ,,,607,N GRAND BLVD,,,,,,, , ,77,,896930.7,,1021874.0,-90.23138664852267,38.639679907021666
19,,,, ,FRAUD,,2016-11,16-059307,1,115400,,,04/23/2001 08:00,STLG BY DECEIT/IDENTITY THEFT REPORT,3,,,,, , ,Y, ,,,3512,MICHIGAN,,,,,,, , ,19,,0.0,,0.0,-93.26566300558045,35.8015057543744
20,,,,5708,KINGSBURY,,2016-11,16-019039,-1,67701,,,04/23/2016 06:30,LARCENY-FROM BUILDING UNDER $500,5,,,,, , , , ,,,5708, ,,,,,,, , ,46,,0.0,,0.0,-93.26566300558045,35.8015057543744
